Date,Workshop,UniqueID,ProgrammingLanguage,RawData,WriteProgram,SearchOnline,OvercomeProblem,ProgrammingConfident,AnalysesEasier,ProgrammingEfficient,ImmediatelyApply,Comfortable,WorkWithData,WorkshopStrengths,WorkshopImprovements,AccessibilityIssues,AccessibilityResponse,InstructorsClearAnswers,InstructorsEnthusiastic,InstructorsInteracting,InstructorsKnowledgeable,InstructorsOpenEnded,LikelyToRecommend,Country
3/13/18 18:52,Ecology,0fosol,R,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree , Strongly disagree,,,,No,,Strongly agree,Strongly agree,Agree,Agree,,100,United States of America
3/13/18 18:54,Ecology,1posol,R,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"Peer-to-peer teaching, constant surveying of pace of class, and constant inquiry of what students are interested in",More time!,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,They were very understanding of my behind in the course; an easier learning environment certainly helped my ability to learn in class,100,United States of America
3/13/18 18:50,Ecology,1arlei,R,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,95,United States of America
3/13/18 18:55,Ecology,3wosol,R,Strongly agree,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,live coding together!!,Go over intro material faster. Spend more time on ecologically relevant coding,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,They were patient when I had technical difficulties and they never made anyone feel stupid for asking naive qustions,100,United States of America
3/13/18 18:54,Ecology,2stcst,R,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,,,Yes,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/13/18 18:57,Ecology,1sahal,R,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"Ryan and Mike are awesome! The things we learned are very applicable. I've taken a 2-day R carpentry class before but I really liked the course format because I was able to think about things, learn more, and let it all sink in (where the 2-day class I forgot a lot when I did not apply it immediately).",Can't think of anything.,Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I liked that they reviewed the homework tasks at the beginning. Also, I met with Mike about some other R tasks and it was SUPER helpful.",100,United States of America
3/13/18 18:52,Ecology,1phpol,R,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree , Strongly disagree,,"The skills learned were broadly applicable (I've already used them in my own work!), it was an open environment",It would be great to go over functions and forloops,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mike was helpful during my first week when I was struggling to set up my repository,99,United States of America
3/13/18 18:55,Ecology,0minor,R,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree ,Strongly agree ,,"Using github so we can look at other repositories, live code, several helpers roaming around the room, very user friendly, especially for beginners",Some of the lectures were a little rushed,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,They used relevant ecological data and were willing to sit with each of us to help through particular errors.,100,United States of America
3/13/18 18:53,Ecology,1sawen,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"The instructors, resources, live coding, and assignments",,Yes,"Originally, I was almost dismissed from the course because I am not in the ecology graduate group. I am in animal biology grad group, but my researcg,department and advisor are located in Ecology and Wildlife, Conservation, Biology",Strongly agree,Strongly agree,Strongly agree,Strongly agree,The green/red stickies really took the pressure off asking for help,100,United States of America
3/13/18 18:49,Ecology,2grtul,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,Data manipulation and analysis pipeline development,Get to go through more material as a group.,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,91,United States of America
3/13/18 18:49,Ecology,1pojad,R,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree ,Strongly agree ,,"I thought it was really useful to have people available to help with individual issues while the main session was continuing was very useful. I also appreciated the ""explore how the code works"" approach taken to teaching the concepts.",,No,,Agree,Strongly agree,Agree,Agree,Helped work me through issues I was having with the R packages.,100,United States of America
3/13/18 18:48,Ecology,2prche,R,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"Introduction to tools in R, troubleshooting initial problems, understanding of breadth/possibilities in R",Faster pace,Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/13/18 18:44,Ecology,1sfsou,R,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Strongly agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/13/18 18:46,Ecology,0stcow,R,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"Not only were the class sections thorough, but all of the data was available online to go back to later. Being able to go back and look at code will be very helpful in the future, as well as being able to go back and look at all the live code. ",Have more of them! It would be cool if there was more time available to go over more challenges and potentially work with our own data. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The use of red and green sticky notes was a great way to get help from an instructor while the rest of the class was going on. Instructors always quickly responded to e-mails and were willing and eager to help, and always were quick to help ease frustration and related to me. ",100,United States of America
3/13/18 18:54,Ecology,2Spwhi,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,Going through the process step by step and explaining what each line of code does was extremely helpful. I also really enjoyed the independent challenges and homeworks to test what I have learned. ,I think this workshop would should either be more than once a week and/or offering a continuation of this course where this one is the pre req to really build on the R skills learned. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Having more than one instructor available to answer questions was super helpful. ,100,United States of America
3/12/18 19:09,Genomics,1vavan,R,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,Excellent step-by-step of how programming is applied in scientific labs. Made biostatistical information easy to understand and apply. ,Perhaps provide additional programming resources that students/faculty/staff can learn about and use in their own projects. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/12/18 17:45,Ecology,3later,R,,,,,,,,   ,  ,,,,,,,,,,,,United States of America
3/13/18 10:24,Ecology,2atnin,R,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral ,Neutral ,,,,No,,Neutral,Neutral,Neutral,Neutral,,,Afghanistan
3/12/18 16:51,Genomics,5tolil,R,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,#NAME?,NA,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"When my account could not log on to Atmosphere, the instructor gave me another user account and password that works",100,United States of America
3/9/18 14:15,Ecology,0sicin,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,"For the R portion, in particular, there was a bit of a team teaching approach...one of the 'helpers' stepped in several times to fill in gaps or help explain a tricky concept. They had different teaching styles, which helped address different learning styles. I thought it worked really well, perhaps they can team teach in the future! The Open Refine section was probably the best run of the group!","The Excel portion was a bit redundant for current data scientists, it should probably have started off halfway through (the 'get in groups and figure out what's wrong with the data' portion was pretty...basic.) and the woman teaching it spoke so quietly, most of us couldn't hear her. especially since this was a 'do things on your computer as you go' workshop, people would be helping their neighbor or getting assistance from the helpers, which required talking, and it became impossible to hear. ",No,,Agree,Agree,Agree,Agree,,80,United States of America
3/9/18 8:07,I don't know.,3wadan,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree ,Strongly agree ,,Really good step-by-step introduction to each of the programs & then building on these ideas to apply to your research. ,Maybe change the duration- make it three or four half-days. The material covered is tough and it is hard to absorb everything at a certain point (especially for true beginners).   ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,80,United States of America
3/8/18 18:52,Ecology,1seloc,R,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Agree ,Neutral ,,"The instructors all seemed very knowledgeable about the topics they were covering. Specifically, I was amazed at how much Mario seemed to know about all of the programs. ","There needs to be screening of participants - basic computer skills NEED to be required, understanding of the English language or have an interpreter work alongside them, MUST have programs preloaded on computer PRIOR to the class starting.    I personally sat next to someone who was no proficient in basic computer skills and did not understand English well enough to keep up with the instructor. This led to her asking me questions at nearly every step when I was also trying to learn the information for the first time. I felt that I could not ignore her, be rude, and leave her stranded to fall even further behind. In turn this resulted in my falling behind and missing information given out my the instructors while I tried to explain things they were clearly being laid out in front of us on the projector. Ultimately this resulted in not getting the most out of the class that I believe I could have. ",Yes,I answered yes because before each session there were numerous people that did not have the required programs installed. This slowed down the instructors and subsequently the class and the people who did come prepared while we waited for someone with admin rights to approve the installs. It seemed very clear in the email we received when we signed up that you needed to get these programs installed before the class begins. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:08,Genomics,0mostr,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree ,Strongly agree ,,new commands or way to use old ones,"spend less time on simple introductory things and more on loops, alignments and regular expressions",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"they were helping all the way, and went above and beyond to answer questions and help us with errors",100,United States of America
3/8/18 17:09,Genomics,5sthei,R,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral ,Strongly agree ,,Adapted for beginners in computer programming and learning a new computer language. ,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Gave time for everyone to keep up with the material.  Made sure everyone understood.  Gave us time to try things out for ourselves,100,United States of America
3/8/18 17:07,I don't know.,,R,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree ,Agree ,,,,No,,Agree,Agree,Agree,Strongly agree,,90,United States of America
3/8/18 17:07,Genomics,2shwil,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral ,Agree ,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,,90,United States of America
3/8/18 17:08,Genomics,1sacas,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"The speaker is incredible. Very clear, streamlined and ready to answer even outside workshop questions. ",Have a few more people with the same knowledge than the speaker.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I have some knowledge of R and shell. Jason can answer questions quickly and very precisely on off-topic questions relevant to advanced coding. Really great. ,100,United States of America
3/8/18 17:06,Genomics,1coave,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree ,Strongly agree ,,Learning to work on the shell and FastQ files,Maybe slower on the Shell day. But I know it is a lot of material to cover. I guess practice at the end of the workshop is best. ,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,He teaches really well and inspired me to become an instructor. ,100,United States of America
3/8/18 17:03,Genomics,,R,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree ,Agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,90,United States of America
3/8/18 17:05,Genomics,1bepog,R,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree ,Strongly agree ,,Accessible for beginners  Interactive  Easy to follow with helpers if we are lost!,I guess it would ask more time but having the chance to create a little project in groups would be great to see if we can apply what we learnt,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:06,Genomics,4ktlig,R,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree ,Agree ,,very clear instruction easy to follow,more advance workshops in future,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,friendly and easily available,90,United States of America
3/8/18 17:08,Genomics,1boriv,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,Pacing was excellent. It was really helpful to be able to follow along and to get experience with R and command line on my own laptop. I also found it very helpful to have someone to talk about what the commands mean and how the commands are constructed.,"I think more stretch breaks - no need for food, but just a couple of minutes to stand up and walk around would help.",No,,Agree,Agree,Strongly agree,Strongly agree,Jason was really great about explaining everything clearly and walking through the commands slowly that helped me to understand what everything meant.,100,United States of America
3/8/18 17:03,Genomics,0rathe,R,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Agree ,,,,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,95,United States of America
3/8/18 17:04,Genomics,2satap,R,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"Pace was great for first day and most of second, instructor explained things very well, we waited for people to get caught up if things weren't working for them, website for class instructions has helpful links/info",The last ~2 hours were sped up and we didn't get through the data as the modules described - felt lost at the end.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Answered questions well and taught at a great pace for beginners. ,100,United States of America
3/8/18 17:04,Genomics,2BOcan,R,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree ,Agree ,,Except for the last hour or so the workshop went at a good pace and everyone was able to keep up,"I think it was pretty good. Jason is a good teacher and explins things well, goes at a good pace.  I can't really think of any way it can be improved",No,,Agree,Agree,Agree,Strongly agree,,99,United States of America
3/8/18 17:04,Genomics,1sakos,R,,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Neutral ,,good introduction to the programing  ,just keep swimming!,No,,Agree,Agree,Agree,Agree,answered my questions,100,United States of America
3/8/18 17:07,Genomics,5sjlig,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Agree ,,Easy to follow,More time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,His positive attitude even when some of the exercises did not work as expected help me realize that those sort of issues can happen even to experience professional and the key to overcome it is to keep a positive attitude and keep working on it. ,100,United States of America
3/8/18 17:01,Reproducible Research,1ViCre,R,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree ,Agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:01,Genomics,4ormar,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:02,Genomics,3sehar,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree , Strongly disagree,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:04,Genomics,3todra,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,A lot of helpful information that is broken down in easily digestible pieces of brain food. Ice cream was a wonderful treat as well. :),"I was hoping to see more Linux content covered, maybe expand the workshop to start earlier or end later? Maybe given an option for an additional time period for making up material that could not be covered fully in depth.",Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The instructor was able to immediately answer questions and had clear, instructive directions to easily follow along as the lessons progressed. I wish he taught some of my graduate coursework.",92,United States of America
3/8/18 17:01,Genomics,1plhid,Python,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,,,No,,Agree,Agree,Agree,Agree,,,United States of America
3/8/18 17:02,Genomics,1snsch,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"very well paced for a beginner, teaches where to find information for ourselves",,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:07,Genomics,2ritan,R,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree ,Strongly agree ,,"Good guidance.  Explained well. Friendly.  Worked with actual data, so it didn't feel fake.",It would be nice if there was more time for exploration.  However I understand that the more open time that less you are able to teach us.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"very quick to respond, made me feel like they really cared and that I was important.",100,United States of America
3/8/18 17:01,Genomics,1pelen,R,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree ,Strongly agree ,,"Very well organized, good examples",,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 17:00,Genomics,3chtri,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,,,Yes,,Agree,Agree,Agree,Agree,,92,United States of America
3/8/18 17:01,Genomics,6tahag,R,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Strongly agree ,,"Good instruction, relevant info, content well-prepared and presented in course website",make links in course website and lessons open in a new tab ,No,,Agree,Strongly agree,Agree,Strongly agree,presented material well and took questions throughout,100,United States of America
3/8/18 17:04,Genomics,2roisa,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"The instructor, Jason, was attentive, engaging, and knowledgeable.","Starting earlier would have been preferred. (9 instead of 9:30, especially with a coffee break at 10:30)    Setting up the break tables near the room would have also cut down on wasted time and made some of the material delivery a little less rushed.",No,,Agree,Strongly agree,Strongly agree,Strongly agree,Jason extended the lessons by pointing me to valuable resources and ways to keep learning outside of the classroom,95,United States of America
3/8/18 16:58,Genomics,2sacha,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree ,Agree ,,"Pace and flow of workshop, real-world examples",More activities and on-your-own activities,No,,Agree,Agree,Strongly agree,Strongly agree,,75,United States of America
3/8/18 17:00,Genomics,,R,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral ,Strongly agree ,,very clear in explaining ,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,92,United States of America
3/8/18 16:25,Ecology,4wasev,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,98,United States of America
3/8/18 16:22,Ecology,1seloc,R,,,,,,,,   ,  ,,,,,,,,,,,,
3/21/18 19:33,Ecology,0accee,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,Attentive instructors. Environment with a lot of support. Very good pacing.,Not enough time was set aside for the capstone project and it felt very hurried,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/8/18 15:25,I don't know.,1phtre,R,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral ,Agree ,,"Gained exposure to several different types of data management tools.  Instructors were informative, knowledgeable, and respectful  Workshop went at a good pace, easy to follow step-by-step instructions","More information is needed on the utility of these tools - what are the pros/cons of using one over another?  Might be easier to start with a single data set and work toward a specific goal by the end of the workshop - ex. answer a question using statistical analysis or creating a plot, so immediate applications become clearer",No,,Agree,Agree,Agree,Strongly agree,,65,United States of America
3/7/18 12:04,Genomics,2xicen,R,,,,,,,,   ,  ,,,,,,,,,,,,
3/7/18 10:27,Reproducible Research,4alwes,R,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Neutral ,Agree ,,The availability of skilled helpers to answer questions  the time given to practice new skills  introduction to shell commands for easier navigation and organization of files,"The R section went too fast for me to remember much.  The first half did not offer enough opportunity to work with the program.  There wasn't enough introduction on what it does and can do for us.  The Unix shell instruction was maybe too slow, but it offered plenty of time to test out what we learned.  I feel more confident in that area (although I have been exposed to it about 10 years ago).",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I thought the helpers were excellent, and in some cases more experienced than the teacher.  I was impressed they all did this as volunteers.",66,United States of America
3/6/18 15:54,Reproducible Research,0pamer,R,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree ,Strongly agree ,,"the volunteers were amazing, immensely grateful for their time","the portion of producing actual data visualization felt rushed, which is really what i was there for.",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,the instructors were happy to be pulled aside during breaks or after the workshop to provide either direct assistance or best resources to find the answers.,100,United States of America
3/6/18 7:22,I don't know.,0neeas,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree ,Agree ,,Practice,slowdown the pace of the course,No,,Agree,Agree,Agree,Agree,,100,United States of America
3/5/18 16:48,I don't know.,5jeeig,R,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree ,Strongly agree ,,Bite size intro to coding. Friendly instructors and assistants ,Emphasis on concepts over rote repetition of command lines ,No,,Strongly agree,Strongly agree,Strongly agree,Agree,"Less jargon off-the-bat. For example, at the outset, we were told to open 'terminal'...didn't know what that was.",85,United States of America
3/4/18 19:43,Genomics,,Python,,,,,,,,   ,  ,,,,,,,,,,,,
3/4/18 17:12,I don't know.,3befir,Python,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,the instructor have a good knowledge about the python ,go slowly ,No,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,too fast,88,United States of America
3/4/18 17:07,Genomics,,Python,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree ,Agree ,,,,No,,Neutral,Agree,Agree,Neutral,,73,United States of America
3/4/18 17:06,Ecology,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,python,more other regression model,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/4/18 17:07,Ecology,0hafir,Python,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree ,Agree ,,Plenty of handy tools were intorduced ,"The workshop was too broad, it might be more efficient to focus on less topics. ",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All of my questions were thoroughly answered ,75,United States of America
3/4/18 17:08,Ecology,1brsix,Python,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly agree,Neutral ,Agree ,,the exposure to the many types of programs/software that can be used in or in conjunction with Python    and all the resources provided,"it's understandable that there is a limit to how much one can learn in workshop. it may be useful to define the objectives of what one can use immediately afterwards but I think people felt good about the workshop overall. Due to time constraints, machine learning was went over at the end but I think people were pretty tired by the end. Not really a negative but just a reality of the workshop timeframe.",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,they were able to answer and/or troubleshoot questions right away. ,100,United States of America
3/4/18 17:08,Ecology,1kafir,Python,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Strongly agree ,,Individual attention.  Training at basic level.  Perfect student-trainer ratio  ,Remain connected via emails or a listerserve.   Monthy/weekly followups.  Maybe continuation of course online with dissertations.  ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
3/4/18 17:08,Ecology,4jefir,Python,Agree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Strongly disagree ,Agree ,,,"Have the code for the lessens shared before class, so it is easier to follow",No,,Agree,Strongly agree,Strongly agree,Strongly agree,,33,United States of America
3/4/18 17:05,Ecology,1nhnir,Python,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree ,Agree ,,data visualizations,,No,,Agree,Agree,Agree,Agree,,81,United States of America
3/4/18 17:07,Ecology,1nogue,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral ,Neutral ,,Hands-on,Make it less condensed,Yes,,Agree,Strongly agree,Strongly agree,Strongly agree,,80,United States of America
3/4/18 17:07,Ecology,1bafir,Python,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"Very interactive. Both David and Matt took questions and provided individual answers. Also, the speed of the workshop increased in the second session, which I appreciated. Overall, it was a very welcoming and positive atmosphere. Thank you very much for your efforts!","Less pauses and a quicker pace would have been nice. However, there is no optimal speed, only individual preferences, so this is hard to optimize.",No,,Strongly agree,Strongly agree,Agree,Agree,"By answering individual questions, instead of only sticking to a predetermined script.",85,United States of America
3/4/18 17:05,I don't know.,1buyan,Python,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree ,Agree ,,getting the basics covered,,No,,Agree,Agree,Agree,Strongly agree,,93,United States of America
3/4/18 17:04,Ecology,0dafir,Python,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,,,No,,Agree,Agree,Agree,Agree,,100,United States of America
3/4/18 17:05,Ecology,1sa1st,Python,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree ,Agree ,,"It was very helpful starting with the very basic functions of python, as I had zero experience using python prior to the workshop.","Maybe make it more interactive, have attendees try to figure out a problem on their own.",No,,Agree,Agree,Agree,Strongly agree,,73,United States of America
3/4/18 17:08,Ecology,2aumar,Python,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"Very clear teaching method for most parts, also helped a lot through the use of Etherpad and Python notebooks.  I also enjoyed a lot the preparation stage with Excel and OpenRefine.",The SQL part was a bit more confusing and difficult to follow.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The helpers/instructors were very quick at coming and solving minor problems when trying to reproduce what was shown.,100,United States of America
3/4/18 17:03,Ecology,5tomad,Python,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,,,,,Neutral,Strongly agree,Strongly agree,Neutral,,74,United States of America
3/4/18 17:08,Ecology,0nygol,Python,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,Face-to-face instruction on the technology,More practical exercise,No,no,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Answered my questions face to face,100,United States of America
3/3/18 17:56,I don't know.,0lusto,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Strongly agree ,,"Practical examples, helpful instructors","More organized theoretical background, more motivation for the examples considered, better understanding of the data structures used ",No,,Neutral,Agree,Strongly agree,Neutral,"We get immediate help when needed. However, some basic theoretical questions could not be answered by the instructors.",70,United States of America
3/3/18 9:13,Reproducible Research,3sanin,R,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral ,Agree ,,,,No,,,,,,,,
3/1/18 13:54,Genomics,3dukin,Python,Strongly agree,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"The pace was perfect (for me anyway). The instructors didn't try to stuff too many topics into the time, allowing time to work on exercises, ask questions and discuss issues.",I can't think of any,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I had a couple of issues at certain points in the workshop, and the instructor took time to talk to me  and guide me through the problem. They had patience and were clear were their directions. I've been to other workshops where I have felt intimidated and didn't ask questions/for help as a result. There was an extremely god atmosphere throughout the workshop, regardless of which instructor was leading. Overall a very positive experience.",100,United States of America
3/1/18 8:29,Ecology,1lochu,R,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree ,Strongly agree ,,I thought it was perfectly aimed at people with very little technical knowledge,"Some of the parts of the workshop were slightly erratic and tricky to follow but I think that may have been due to the class size and specific questions being asked a lot, throwing the instructor off a little",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,They were very able to dumb complicated tech principles into layman terms,95,United Kingdom
